sym,tf,group,cond,h,win,n,mean_pips,t
EURUSD,60min,hour,h00,2,oos,609,-0.2408866995073994,-0.5622811593501768
EURUSD,60min,hour,h01,2,is,622,0.47958199356911785,1.202639895451683
EURUSD,60min,hour,h01,2,oos,522,-0.0867816091953583,-0.21891432812626024
EURUSD,60min,hour,h02,2,is,622,0.20385852090030954,0.6034146019030329
EURUSD,60min,hour,h02,2,oos,522,0.16264367816093428,0.4326523188109789
EURUSD,60min,hour,h03,2,is,622,-0.5602090032154254,-1.9131783935972004
EURUSD,60min,hour,h03,2,oos,522,-0.13103448275865817,-0.4251552260379135
EURUSD,60min,hour,h04,2,is,622,-0.04895498392283792,-0.15565260525308325
EURUSD,60min,hour,h04,2,oos,522,-0.0860153256705086,-0.2512599268617143
EURUSD,60min,hour,h05,2,is,622,-0.2213826366559638,-0.46374507395893155
EURUSD,60min,hour,h05,2,oos,522,0.2594827586206753,0.5654455845362867
EURUSD,60min,hour,h06,2,is,622,-0.18143086816715784,-0.2577225064583356
EURUSD,60min,hour,h06,2,oos,522,-0.02586206896542702,-0.03824618771389243
EURUSD,60min,hour,h07,2,is,622,1.0963826366559164,1.399016853829721
EURUSD,60min,hour,h07,2,oos,522,0.576053639846791,0.7833291473648398
EURUSD,60min,hour,h08,2,is,622,0.1368167202572099,0.19364369232274128
EURUSD,60min,hour,h08,2,oos,522,0.6485632183906934,1.068124697902637
EURUSD,60min,hour,h09,2,is,622,-0.5760450160770658,-0.8774370607194963
EURUSD,60min,hour,h09,2,oos,522,-0.3774904214560424,-0.7040115925466337
EURUSD,60min,hour,h10,2,is,622,-2.0455787781350425,-3.3271140290618137
EURUSD,60min,hour,h10,2,oos,522,-0.141283524904149,-0.27397717972154517
EURUSD,60min,hour,h11,2,is,622,-2.1165594855306673,-2.5846696812838332
EURUSD,60min,hour,h11,2,oos,522,0.013505747126469961,0.017664617177098184
EURUSD,60min,hour,h12,2,is,622,0.5856109324758902,0.5400880251269125
EURUSD,60min,hour,h12,2,oos,522,0.13208812260523384,0.1401607102085646
EURUSD,60min,hour,h13,2,is,622,1.119051446945356,0.9883819117468873
EURUSD,60min,hour,h13,2,oos,522,0.5769157088122967,0.651104575482976
EURUSD,60min,hour,h14,2,is,622,0.16993569131830621,0.18892075439517875
EURUSD,60min,hour,h14,2,oos,522,-0.31590038314172214,-0.4038617076411944
EURUSD,60min,hour,h15,2,is,622,-0.6123794212218605,-0.7996866331051936
EURUSD,60min,hour,h15,2,oos,522,-1.1346743295019819,-1.681631259522539
EURUSD,60min,hour,h16,2,is,622,-0.07508038585209284,-0.1206799359082626
EURUSD,60min,hour,h16,2,oos,522,-0.16388888888880973,-0.30044390090418344
EURUSD,60min,hour,h17,2,is,622,0.6239549839228387,1.0908837512187493
EURUSD,60min,hour,h17,2,oos,522,0.31044061302691406,0.6070787894429062
EURUSD,60min,hour,h18,2,is,622,0.7921221864951988,1.3765397644677677
EURUSD,60min,hour,h18,2,oos,522,-0.23381226053645413,-0.446788434261566
EURUSD,60min,hour,h19,2,is,622,0.41752411575561155,0.9615998573620879
EURUSD,60min,hour,h19,2,oos,522,0.10363984674321677,0.22254059440427237
EURUSD,60min,hour,h20,2,is,622,0.046463022508039464,0.12615243100954204
