sym,cond,h,win,n,mean,t,tf
EURUSD,compress,1,is,8569,0.03483071537494285,1.0965633535535741,15min
EURUSD,compress,1,oos,4458,-0.02157640767065954,-0.5355459010738555,15min
EURUSD,compress,2,is,8569,0.0707117283341933,1.5342090025726571,15min
EURUSD,compress,2,oos,4458,-0.01007743774422839,-0.16659463240660288,15min
EURUSD,compress,4,is,8569,0.08904278214395349,1.3275612632519438,15min
EURUSD,compress,4,oos,4458,0.07419473941420021,0.8575292561781035,15min
EURUSD,compress,8,is,8569,0.18684971413037466,1.8741538087330687,15min
EURUSD,compress,8,oos,4458,0.07787219664075636,0.611023220886873,15min
EURUSD,compress,12,is,8569,0.35003183575385693,2.848481281851542,15min
EURUSD,compress,12,oos,4458,-0.06023452050653315,-0.3816790221417864,15min
EURUSD,compress,24,is,8569,0.6059803478993678,3.545174125633419,15min
EURUSD,compress,24,oos,4458,-0.7842327908710583,-3.9534685917379857,15min
EURUSD,expand_up,1,is,3671,-0.06571691981195403,-0.5752407972061583,15min
EURUSD,expand_up,1,oos,2024,-0.14570936711470556,-1.089675911745782,15min
EURUSD,expand_up,2,is,3671,-0.00891953834363317,-0.056721208733216996,15min
EURUSD,expand_up,2,oos,2024,-0.0866063651776099,-0.4924152641233334,15min
EURUSD,expand_up,4,is,3671,0.046108076676965794,0.22002773750295665,15min
EURUSD,expand_up,4,oos,2024,-0.030495777877611683,-0.13178375337528048,15min
EURUSD,expand_up,8,is,3671,0.14175306427736656,0.517178330437757,15min
EURUSD,expand_up,8,oos,2024,0.013203547926486332,0.04371560726325829,15min
EURUSD,expand_up,12,is,3671,0.37745525699897364,1.1800793177168063,15min
EURUSD,expand_up,12,oos,2024,-0.018409447404356852,-0.05328223012995091,15min
EURUSD,expand_up,24,is,3671,0.31614723423766183,0.7167063745575384,15min
EURUSD,expand_up,24,oos,2024,0.9351610864592131,1.885594337352695,15min
EURUSD,expand_dn,1,is,3644,-0.020691057003192473,-0.1795610123283231,15min
EURUSD,expand_dn,1,oos,2081,0.19633401000521938,1.7358732601742064,15min
EURUSD,expand_dn,2,is,3644,0.05126333056003905,0.335590750432248,15min
EURUSD,expand_dn,2,oos,2081,0.39550649054885256,2.4610459000801614,15min
EURUSD,expand_dn,4,is,3644,0.2402462000882526,1.1703389007911669,15min
EURUSD,expand_dn,4,oos,2081,0.21807449038804172,1.0261931082443407,15min
EURUSD,expand_dn,8,is,3644,0.6463403694410331,2.3341761977697213,15min
EURUSD,expand_dn,8,oos,2081,0.15654732220258,0.5341810430693679,15min
EURUSD,expand_dn,12,is,3644,0.7349263060824862,2.2937703106139664,15min
EURUSD,expand_dn,12,oos,2081,0.1264920398898047,0.373277860232074,15min
EURUSD,expand_dn,24,is,3644,0.3942763223734702,0.9160100862045132,15min
EURUSD,expand_dn,24,oos,2081,0.4645903001429829,0.9928219797198033,15min
EURUSD,spike_up,1,is,1134,-0.21515982206740056,-0.9030462643004352,15min
EURUSD,spike_up,1,oos,646,-0.15035998386231084,-0.5763395470201985,15min
EURUSD,spike_up,2,is,1134,-0.4476476864628867,-1.3801179997842032,15min
EURUSD,spike_up,2,oos,646,-0.3677658109613618,-1.158732034753141,15min
EURUSD,spike_up,4,is,1134,-0.0003218279522609358,-0.0007931666693532573,15min
EURUSD,spike_up,4,oos,646,-0.468013445127547,-1.0924522017536258,15min
EURUSD,spike_up,8,is,1134,0.0023545804269162916,0.004485681948337681,15min
EURUSD,spike_up,8,oos,646,-0.5919071821362903,-1.056459875268259,15min
EURUSD,spike_up,12,is,1134,0.42085991296838526,0.69740228536106,15min
EURUSD,spike_up,12,oos,646,-0.9520989045685456,-1.516207823516203,15min
EURUSD,spike_up,24,is,1134,0.43179919101606623,0.5448025497432611,15min
EURUSD,spike_up,24,oos,646,-0.665620861435348,-0.7406703447472284,15min
EURUSD,spike_dn,1,is,1169,0.09756789709736241,0.41128912899986547,15min
EURUSD,spike_dn,1,oos,577,0.317055949947091,1.3984979881544493,15min
EURUSD,spike_dn,2,is,1169,-0.17488131444503613,-0.5882440104959902,15min
EURUSD,spike_dn,2,oos,577,0.45208116093879597,1.4127860164379544,15min
EURUSD,spike_dn,4,is,1169,-0.15485244924941627,-0.39008718038980617,15min
EURUSD,spike_dn,4,oos,577,0.12610272637991154,0.30537931241219496,15min
EURUSD,spike_dn,8,is,1169,0.12220271484585465,0.24746505744491798,15min
EURUSD,spike_dn,8,oos,577,-0.45138572225257984,-0.7887214580168018,15min
EURUSD,spike_dn,12,is,1169,0.276802789120817,0.46506282320346315,15min
EURUSD,spike_dn,12,oos,577,0.017677911566996562,0.027668005477321768,15min
EURUSD,spike_dn,24,is,1169,-0.35926867325551537,-0.4709110285575725,15min
EURUSD,spike_dn,24,oos,577,0.8816111381783125,1.043918497384246,15min
EURUSD,london_open,1,is,2084,-0.08335260355194724,-0.6464414740495876,15min
EURUSD,london_open,1,oos,1248,-0.06983920014400066,-0.5307586630516622,15min
EURUSD,london_open,2,is,2084,-0.14607180979106665,-0.7922727343672924,15min
EURUSD,london_open,2,oos,1248,-0.18954703863461697,-1.0320476700536945,15min
EURUSD,london_open,4,is,2084,-0.041063965071626046,-0.15949422461683752,15min
EURUSD,london_open,4,oos,1248,-0.2821558252577967,-1.095109127875037,15min
EURUSD,london_open,8,is,2084,0.47420604298533464,1.3525255295507104,15min
EURUSD,london_open,8,oos,1248,-0.22170780430836629,-0.6467011790627786,15min
EURUSD,london_open,12,is,2084,0.13381386294243883,0.34245457891709946,15min
EURUSD,london_open,12,oos,1248,-0.7366243620188044,-1.8708406363088295,15min
EURUSD,london_open,24,is,2084,-0.05060643918233951,-0.08515069387687967,15min
EURUSD,london_open,24,oos,1248,0.3112450342142935,0.515606020056386,15min
EURUSD,ny_open,1,is,2084,0.02367714692786098,0.14194635874829253,15min
EURUSD,ny_open,1,oos,1248,0.05708387677909277,0.3321854843476026,15min
EURUSD,ny_open,2,is,2084,-0.0671850535530905,-0.28586354316953805,15min
EURUSD,ny_open,2,oos,1248,0.13569334598078106,0.5753285458484789,15min
EURUSD,ny_open,4,is,2084,0.07848977773064636,0.2371284228510647,15min
EURUSD,ny_open,4,oos,1248,0.3208089183320005,1.0361999422381072,15min
EURUSD,ny_open,8,is,2084,0.23341909480871614,0.5069134160648989,15min
EURUSD,ny_open,8,oos,1248,0.005976490563546768,0.014003082512260958,15min
EURUSD,ny_open,12,is,2084,-0.7946170391688807,-1.553781474558971,15min
EURUSD,ny_open,12,oos,1248,-0.3940762850955862,-0.792885284419028,15min
EURUSD,ny_open,24,is,2084,-0.7546611416775135,-1.2460852233997444,15min
EURUSD,ny_open,24,oos,1248,-0.895125158093301,-1.3733343299767857,15min
EURUSD,friday_pm,1,is,3132,-0.10314102987624514,-1.376488693878771,15min
EURUSD,friday_pm,1,oos,1872,-0.07757157193887154,-0.9261630176925216,15min
EURUSD,friday_pm,2,is,3132,-0.2064736306337198,-2.0767736747553034,15min
EURUSD,friday_pm,2,oos,1872,-0.21532161128415686,-1.9438540705233622,15min
EURUSD,friday_pm,4,is,3132,-0.41915735066718945,-3.1915557508810775,15min
EURUSD,friday_pm,4,oos,1872,-0.4145943936338225,-2.9251954052576004,15min
EURUSD,friday_pm,8,is,3132,-0.6118459912449936,-3.6477625897895134,15min
EURUSD,friday_pm,8,oos,1872,-0.6698782102911769,-3.6494220943869013,15min
EURUSD,friday_pm,12,is,3132,-0.6581425500858736,-3.6708338932694002,15min
EURUSD,friday_pm,12,oos,1872,-0.8158845115913798,-3.9083585738397613,15min
EURUSD,friday_pm,24,is,3132,-0.7419555982560513,-3.950008289727988,15min
EURUSD,friday_pm,24,oos,1872,-0.9727426794608364,-3.788250913559779,15min
EURUSD,sunday_open,1,is,8257,-0.005117757389927106,-0.1770432920795565,15min
EURUSD,sunday_open,1,oos,4992,-0.036626059118354135,-1.0709723819786896,15min
EURUSD,sunday_open,2,is,8257,-0.0011159798398041535,-0.02754296480784915,15min
EURUSD,sunday_open,2,oos,4992,-0.058567471326896145,-1.2117642618613136,15min
EURUSD,sunday_open,4,is,8257,0.010278637389544923,0.18108387238623871,15min
EURUSD,sunday_open,4,oos,4992,-0.06480806884749936,-0.9438281495937692,15min
EURUSD,sunday_open,8,is,8257,0.10153704951567716,1.2889542082153613,15min
EURUSD,sunday_open,8,oos,4992,-0.05034362161594608,-0.5079507190413558,15min
