pair,dir,t_in,t_out,entry,sl,tp,exit,reason,lots,risk_pct,risk_usd,pips,pnl,spread_cost,slip_cost,commission,equity_at_entry,hold_h
EURUSD,-1,2024-01-03 10:01:00+00:00,2024-01-03 15:46:00+00:00,1.093415,1.0951427250871888,1.0899595498256225,1.0899595498256225,TP,0.02,1.7078926219401436,5.058061218234107,34.55450174377539,6.770900348755078,0.2,0.08000000000000002,0.14,202.32244872936425,5.75
NZDUSD,-1,2024-01-04 01:03:00+00:00,2024-01-04 03:11:00+00:00,0.6238850000000001,0.6256725581678488,0.6203098836643028,0.6256925581678489,SL,0.02,1.7457380474973079,5.119777765087116,-18.075581678487218,-3.7551163356974437,0.24999999999997247,0.08000000000000002,0.14,204.79111060348464,2.1333333333333333
USDCHF,1,2024-01-04 01:27:00+00:00,2024-01-04 07:42:00+00:00,0.8500200000000001,0.8477239508147795,0.8546120983704413,0.8477039508147794,SL,0.01,1.318988295260604,5.119777765087116,-23.160491852206587,-2.794699636738734,0.12352650525866654,0.047057716289028495,0.07,204.79111060348464,6.25
USDJPY,1,2024-01-04 09:01:00+00:00,2024-01-04 13:44:00+00:00,143.654,143.22671347236738,144.50857305526523,144.50857305526523,TP,0.01,1.500401021586322,4.956032365776212,85.45730552652344,5.878828819700352,0.0696117059044649,0.02784468236178596,0.07,198.24129463104848,4.716666666666667
AUDUSD,-1,2024-01-04 09:06:00+00:00,2024-01-04 14:31:00+00:00,0.67417,0.6760110551064081,0.6704878897871839,0.6704878897871839,TP,0.02,1.8573880985135127,4.956032365776212,36.8211021281617,7.22422042563234,0.21999999999988695,0.08000000000000002,0.14,198.24129463104848,5.416666666666667
GBPUSD,-1,2024-01-04 14:04:00+00:00,2024-01-04 15:05:00+00:00,1.2669800000000002,1.2696147258858022,1.2617105482283961,1.269634725885802,SL,0.01,1.2907722380629254,5.10300308626872,-26.547258858018452,-2.724725885801845,0.1,0.04000000000000001,0.07,204.12012345074882,1.0166666666666666
USDCHF,1,2024-01-04 18:23:00+00:00,2024-01-04 22:06:00+00:00,0.8518150000000001,0.8494060143460189,0.8566329713079625,0.8493860143460189,SL,0.01,1.355606942636903,5.215490449764484,-24.28985653981197,-2.921541301786417,1.1387449152691327,0.046958553206975694,0.07,208.61961799057934,3.716666666666667
EURUSD,-1,2024-01-04 20:16:00+00:00,2024-01-05 09:07:00+00:00,1.094275,1.0962348794738968,1.0903552410522068,1.0903552410522068,TP,0.02,1.8789023705192573,5.215490449764484,39.19758947793284,7.699517895586568,0.2,0.08000000000000002,0.14,208.61961799057934,12.85
USDCHF,1,2024-01-05 03:01:00+00:00,2024-01-05 13:30:00+00:00,0.8501950000000001,0.848309158818909,0.8539666823621823,0.8539666823621823,TP,0.02,2.1566830907953976,5.142451917219823,37.71682362182171,8.732511276077066,0.35286022618349666,0.09409606031557466,0.14,205.69807668879292,10.483333333333333
USDCAD,1,2024-01-05 10:04:00+00:00,2024-01-05 13:55:00+00:00,1.3374,1.335706469584561,1.3407870608308778,1.3356864695845612,SL,0.04,2.373570597817277,5.334939864609488,-17.135304154387576,-5.404960117956507,0.373859727829911,0.11963511290563783,0.28,213.3975945843795,3.85
AUDUSD,-1,2024-01-05 17:01:00+00:00,2024-01-11 13:32:00+00:00,0.6717500000000001,0.6743012116456034,0.6666475767087935,0.6666475767087935,TP,0.02,2.354329154434625,5.418128643562502,51.02423291206581,10.064846582413162,0.240000000000029,0.08000000000000002,0.14,216.72514574250008,140.51666666666668
USDJPY,1,2024-01-11 14:01:00+00:00,2024-01-11 14:32:00+00:00,146.365,145.9467409482554,147.20151810348924,145.9447409482554,SL,0.01,1.2600396898308952,5.669749808122831,-42.02590517446083,-2.9413083848229307,0.06832234482287432,0.027328937929149727,0.07,226.78999232491324,0.5166666666666667
NZDUSD,-1,2024-01-05 17:01:00+00:00,2024-01-11 15:10:00+00:00,0.62496,0.6273703462629543,0.6201393074740913,0.6201393074740913,TP,0.02,2.224334656411435,5.418128643562502,48.20692525908665,9.50138505181733,0.220000000000109,0.08000000000000002,0.14,216.72514574250008,142.15
USDCAD,1,2024-01-11 16:01:00+00:00,2024-01-11 18:28:00+00:00,1.3431800000000003,1.34074738289324,1.3480452342135212,1.34072738289324,SL,0.03,2.3283746434053008,5.8337517247976916,-24.526171067602576,-5.687933948004565,0.25685313956451233,0.0893402224571539,0.21,233.35006899190765,2.45
