a,b,lb,entry,exit,stop,hold,is_n,is_pf,is_net,is_win,oos_n,oos_pf,oos_net,oos_win
EURUSD,USDCHF,300,1.5,0.0,5.0,240,41,1.274,103.22,46.3,35,0.501,-136.15,37.1
EURUSD,USDCHF,300,1.5,0.0,5.0,480,25,1.204,54.31,44.0,24,0.465,-116.02,25.0
EURUSD,USDCHF,300,1.5,0.5,3.5,240,155,0.799,-99.86,21.9,120,0.59,-112.29,14.2
EURUSD,USDCHF,300,1.5,0.5,3.5,480,154,0.807,-94.62,22.1,117,0.553,-117.04,13.7
EURUSD,USDCHF,300,1.5,0.5,5.0,240,60,0.861,-58.71,46.7,38,0.731,-57.36,39.5
EURUSD,USDCHF,300,1.5,0.5,5.0,480,59,0.882,-48.67,47.5,35,0.694,-61.2,40.0
EURUSD,USDCHF,300,1.5,1.0,3.5,240,155,0.726,-134.57,21.9,120,0.639,-97.69,12.5
EURUSD,USDCHF,300,1.5,1.0,3.5,480,155,0.726,-134.57,21.9,119,0.642,-85.97,12.6
EURUSD,USDCHF,300,1.5,1.0,5.0,240,60,0.788,-88.63,46.7,38,0.792,-41.81,36.8
EURUSD,USDCHF,300,1.5,1.0,5.0,480,60,0.788,-88.63,46.7,37,0.823,-30.09,37.8
EURUSD,USDCHF,300,2.0,0.0,3.5,240,123,0.847,-50.71,14.6,111,0.608,-79.42,9.9
EURUSD,USDCHF,300,2.0,0.0,3.5,480,116,0.804,-92.5,13.8,103,0.677,-67.75,6.8
EURUSD,USDCHF,300,2.0,0.0,5.0,240,28,0.731,-74.33,42.9,30,1.155,19.43,40.0
EURUSD,USDCHF,300,2.0,0.5,3.5,240,135,0.721,-96.07,17.0,113,0.57,-90.38,11.5
EURUSD,USDCHF,300,2.0,0.5,3.5,480,134,0.762,-79.6,17.2,112,0.547,-82.07,9.8
EURUSD,USDCHF,300,2.0,0.5,5.0,240,40,0.805,-52.29,45.0,31,0.771,-34.55,35.5
EURUSD,USDCHF,300,2.0,0.5,5.0,480,39,0.868,-33.64,46.2,30,0.784,-26.24,30.0
EURUSD,USDCHF,300,2.0,1.0,3.5,240,135,0.736,-87.5,15.6,113,0.713,-58.87,10.6
EURUSD,USDCHF,300,2.0,1.0,3.5,480,135,0.736,-87.5,15.6,113,0.667,-67.24,8.8
EURUSD,USDCHF,300,2.0,1.0,5.0,240,40,0.84,-41.56,40.0,31,0.978,-3.01,35.5
EURUSD,USDCHF,300,2.0,1.0,5.0,480,40,0.84,-41.56,40.0,31,0.915,-11.37,29.0
EURUSD,USDCHF,300,2.5,0.0,3.5,240,120,0.849,-42.25,13.3,105,0.767,-31.34,8.6
EURUSD,USDCHF,300,2.5,0.0,3.5,480,114,0.702,-116.96,11.4,102,0.765,-40.74,6.9
EURUSD,USDCHF,300,2.5,0.0,5.0,240,25,0.654,-81.52,40.0,24,1.292,23.89,33.3
EURUSD,USDCHF,300,2.5,0.5,3.5,240,125,0.878,-29.26,15.2,107,0.571,-68.73,10.3
EURUSD,USDCHF,300,2.5,0.5,3.5,480,124,0.94,-14.3,14.5,107,0.617,-56.58,10.3
EURUSD,USDCHF,300,2.5,0.5,5.0,240,30,1.102,16.68,50.0,25,0.864,-12.88,32.0
EURUSD,USDCHF,300,2.5,0.5,5.0,480,29,1.194,31.64,48.3,25,0.991,-0.74,32.0
EURUSD,USDCHF,300,2.5,1.0,3.5,240,125,0.927,-16.09,13.6,107,0.652,-58.29,10.3
EURUSD,USDCHF,300,2.5,1.0,3.5,480,125,0.927,-16.09,13.6,107,0.691,-48.93,10.3
EURUSD,USDCHF,300,2.5,1.0,5.0,240,30,1.198,29.83,43.3,25,0.975,-2.39,36.0
EURUSD,USDCHF,300,2.5,1.0,5.0,480,30,1.198,29.83,43.3,25,1.082,6.97,36.0
EURUSD,USDCHF,300,3.0,0.0,3.5,240,112,1.311,47.4,12.5,103,1.149,14.18,7.8
EURUSD,USDCHF,300,3.0,0.0,3.5,480,110,0.768,-75.96,10.0,100,0.737,-35.42,6.0
EURUSD,USDCHF,300,3.0,0.5,3.5,240,114,0.952,-6.5,13.2,103,1.017,1.49,7.8
EURUSD,USDCHF,300,3.0,0.5,3.5,480,114,0.952,-6.5,13.2,103,1.017,1.49,7.8
EURUSD,USDCHF,300,3.0,1.0,3.5,240,114,1.059,7.26,12.3,103,1.158,14.06,7.8
EURUSD,USDCHF,300,3.0,1.0,3.5,480,114,1.059,7.26,12.3,103,1.158,14.06,7.8
EURUSD,USDCHF,500,1.5,0.0,3.5,240,97,0.493,-216.83,13.4,76,0.893,-24.57,14.5
EURUSD,USDCHF,500,1.5,0.0,3.5,480,86,0.549,-194.18,12.8,69,0.395,-164.48,7.2
EURUSD,USDCHF,500,1.5,0.0,5.0,240,33,0.559,-172.08,39.4,21,1.21,34.67,47.6
EURUSD,USDCHF,500,1.5,0.5,3.5,240,101,0.601,-160.07,16.8,78,0.781,-44.37,19.2
EURUSD,USDCHF,500,1.5,0.5,3.5,480,97,0.539,-216.09,16.5,75,0.746,-58.94,14.7
EURUSD,USDCHF,500,1.5,0.5,5.0,240,37,0.636,-131.41,43.2,21,0.982,-2.75,57.1
EURUSD,USDCHF,500,1.5,0.5,5.0,480,31,0.577,-176.21,41.9,17,0.89,-19.87,47.1
EURUSD,USDCHF,500,1.5,1.0,3.5,240,103,0.679,-117.36,19.4,78,0.792,-39.47,17.9
EURUSD,USDCHF,500,1.5,1.0,3.5,480,99,0.582,-183.3,19.2,76,0.548,-95.9,13.2
EURUSD,USDCHF,500,1.5,1.0,5.0,240,39,0.739,-81.93,48.7,21,0.99,-1.4,61.9
EURUSD,USDCHF,500,1.5,1.0,5.0,480,33,0.622,-143.35,48.5,18,0.635,-56.73,50.0
EURUSD,USDCHF,500,2.0,0.0,3.5,240,90,0.666,-109.93,14.4,68,0.695,-44.83,11.8
EURUSD,USDCHF,500,2.0,0.0,3.5,480,83,0.842,-39.94,12.0,66,0.162,-204.47,4.5
EURUSD,USDCHF,500,2.0,0.5,3.5,240,94,0.755,-75.97,17.0,70,0.707,-36.09,12.9
EURUSD,USDCHF,500,2.0,0.5,3.5,480,93,0.663,-121.77,16.1,70,0.519,-67.8,11.4
EURUSD,USDCHF,500,2.0,0.5,5.0,240,28,0.898,-26.12,53.6,12,0.924,-6.29,50.0
EURUSD,USDCHF,500,2.0,0.5,5.0,480,27,0.734,-81.88,44.4,12,0.687,-28.65,41.7
EURUSD,USDCHF,500,2.0,1.0,3.5,240,96,0.873,-33.1,19.8,70,0.788,-23.28,11.4
EURUSD,USDCHF,500,2.0,1.0,3.5,480,95,0.731,-87.99,18.9,70,0.418,-65.57,10.0
EURUSD,USDCHF,500,2.0,1.0,5.0,240,30,1.085,17.06,60.0,12,0.985,-1.1,58.3
EURUSD,USDCHF,500,2.0,1.0,5.0,480,29,0.821,-48.01,55.2,12,0.564,-26.38,50.0
EURUSD,USDCHF,500,2.5,0.0,3.5,240,81,0.886,-23.61,11.1,64,0.337,-83.86,7.8
EURUSD,USDCHF,500,2.5,0.0,3.5,480,80,1.875,103.65,12.5,63,0.059,-154.85,3.2
EURUSD,USDCHF,500,2.5,0.5,3.5,240,82,0.967,-6.19,12.2,65,0.573,-41.13,9.2
EURUSD,USDCHF,500,2.5,0.5,3.5,480,82,0.71,-77.31,12.2,65,0.44,-67.89,7.7
EURUSD,USDCHF,500,2.5,1.0,3.5,240,83,1.023,3.95,14.5,65,0.47,-43.73,6.2
EURUSD,USDCHF,500,2.5,1.0,3.5,480,83,0.659,-90.56,14.5,65,0.382,-59.71,4.6
EURUSD,USDCHF,500,3.0,0.0,3.5,240,76,0.292,-131.13,7.9,61,0.13,-104.07,3.3
EURUSD,USDCHF,500,3.0,0.0,3.5,480,75,0.965,-3.3,9.3,61,0.037,-133.53,1.6
EURUSD,USDCHF,500,3.0,0.5,3.5,240,76,0.262,-141.8,7.9,62,0.192,-65.24,4.8
EURUSD,USDCHF,500,3.0,0.5,3.5,480,76,0.18,-214.26,7.9,62,0.181,-70.27,4.8
EURUSD,USDCHF,500,3.0,1.0,3.5,240,76,0.317,-117.65,7.9,62,0.229,-49.9,3.2
EURUSD,USDCHF,500,3.0,1.0,3.5,480,76,0.211,-204.01,7.9,62,0.229,-49.9,3.2
AUDUSD,NZDUSD,200,1.5,0.0,3.5,240,147,0.563,-57.65,12.2,83,0.314,-79.19,10.8
AUDUSD,NZDUSD,200,1.5,0.0,3.5,480,129,0.349,-80.3,9.3,71,0.372,-47.5,9.9
AUDUSD,NZDUSD,200,1.5,0.0,5.0,240,43,0.644,-37.06,34.9,31,0.544,-36.22,32.3
AUDUSD,NZDUSD,200,1.5,0.0,5.0,480,27,0.924,-5.77,48.1,18,0.549,-22.47,33.3
AUDUSD,NZDUSD,200,1.5,0.5,3.5,240,176,0.404,-77.91,13.1,103,0.546,-46.51,22.3
AUDUSD,NZDUSD,200,1.5,0.5,3.5,480,175,0.392,-78.71,12.6,103,0.546,-46.51,22.3
AUDUSD,NZDUSD,200,1.5,0.5,5.0,240,69,0.604,-35.26,29.0,48,0.831,-11.26,41.7
AUDUSD,NZDUSD,200,1.5,0.5,5.0,480,68,0.588,-36.06,27.9,48,0.831,-11.26,41.7
AUDUSD,NZDUSD,200,1.5,1.0,3.5,240,180,0.381,-67.34,16.7,104,0.422,-51.99,22.1
